Date (WET),CCGT (40%),CCGT (45%),CCGT (50%),CCGT (55%),COAL (30%),COAL (35%),COAL (40%)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[31/10/2018 01:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 02:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 03:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 04:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 05:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 06:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 07:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 08:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 09:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 10:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 11:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 12:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 13:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 14:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 15:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 16:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 17:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 18:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 19:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 20:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 21:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 22:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[31/10/2018 23:00],52.93,47.05,42.34,38.49,25.35,21.73,19.01
[01/11/2018 00:00],52.12,46.33,41.70,37.91,24.28,20.81,18.21
[01/11/2018 01:00],52.12,46.33,41.70,37.91,24.28,20.81,18.21
[01/11/2018 02:00],52.12,46.33,41.70,37.91,24.28,20.81,18.21
[01/11/2018 03:00],52.12,46.33,41.70,37.91,24.28,20.81,18.21
[01/11/2018 04:00],52.12,46.33,41.70,37.91,24.28,20.81,18.21
[01/11/2018 05:00],52.12,46.33,41.70,37.91,24.28,20.81,18.21
[01/11/2018 06:00],52.12,46.33,41.70,37.91,24.28,20.81,18.21
[01/11/2018 07:00],52.12,46.33,41.70,37.91,24.28,20.81,18.21
[01/11/2018 08:00],52.12,46.33,41.70,37.91,24.28,20.81,18.21
[01/11/2018 09:00],52.12,46.33,41.70,37.91,24.28,20.81,18.21
[01/11/2018 10:00],52.12,46.33,41.70,37.91,24.28,20.81,18.21
